Qtr,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
1st,12,21,0.571,10,14,0.714,2,7,0.286,0.619,8,0.667
2nd,8,15,0.533,6,10,0.6,2,5,0.4,0.6,5,0.625
3rd,7,20,0.35,4,10,0.4,3,10,0.3,0.425,5,0.714
4th,13,21,0.619,10,16,0.625,3,5,0.6,0.69,6,0.462
Tot,40,77,0.519,30,50,0.6,10,27,0.37,0.584,24,0.6
