Qtr,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
1st,5,22,0.227,4,13,0.308,1,9,0.111,0.25,3,0.6
2nd,8,22,0.364,4,10,0.4,4,12,0.333,0.455,4,0.5
3rd,11,19,0.579,7,10,0.7,4,9,0.444,0.684,6,0.545
4th,9,19,0.474,3,10,0.3,6,9,0.667,0.632,6,0.667
Tot,33,82,0.402,18,43,0.419,15,39,0.385,0.494,19,0.576
