Qtr,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
1st,9,21,0.429,9,17,0.529,0,4,0.0,0.429,6,0.667
2nd,7,21,0.333,6,11,0.545,1,10,0.1,0.357,3,0.429
3rd,11,21,0.524,8,15,0.533,3,6,0.5,0.595,6,0.545
4th,6,19,0.316,4,14,0.286,2,5,0.4,0.368,2,0.333
Tot,33,82,0.402,27,57,0.474,6,25,0.24,0.439,17,0.515
