Qtr,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
1st,15,21,0.714,12,15,0.8,3,6,0.5,0.786,7,0.467
2nd,6,27,0.222,3,19,0.158,3,8,0.375,0.278,4,0.667
3rd,15,20,0.75,12,14,0.857,3,6,0.5,0.825,7,0.467
4th,12,23,0.522,9,18,0.5,3,5,0.6,0.587,5,0.417
Tot,48,91,0.527,36,66,0.545,12,25,0.48,0.593,23,0.479
