Qtr,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
1st,12,22,0.545,9,14,0.643,3,8,0.375,0.614,9,0.75
2nd,11,22,0.5,9,16,0.563,2,6,0.333,0.545,5,0.455
3rd,9,23,0.391,7,15,0.467,2,8,0.25,0.435,7,0.778
4th,11,20,0.55,9,15,0.6,2,5,0.4,0.6,8,0.727
Tot,43,87,0.494,34,60,0.567,9,27,0.333,0.546,29,0.674
