Qtr,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
1st,10,20,0.5,8,14,0.571,2,6,0.333,0.55,4,0.4
2nd,5,22,0.227,3,15,0.2,2,7,0.286,0.273,4,0.8
3rd,10,24,0.417,9,19,0.474,1,5,0.2,0.438,4,0.4
4th,7,18,0.389,5,15,0.333,2,3,0.667,0.444,5,0.714
Tot,32,84,0.381,25,63,0.397,7,21,0.333,0.423,17,0.531
