Qtr,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
1st,8,25,0.32,7,19,0.368,1,6,0.167,0.34,6,0.75
2nd,8,20,0.4,6,16,0.375,2,4,0.5,0.45,5,0.625
3rd,8,15,0.533,7,8,0.875,1,7,0.143,0.567,3,0.375
4th,4,19,0.211,3,13,0.231,1,6,0.167,0.237,1,0.25
Tot,28,79,0.354,23,56,0.411,5,23,0.217,0.386,15,0.536
