Qtr,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
1st,11,26,0.423,6,13,0.462,5,13,0.385,0.519,6,0.545
2nd,9,17,0.529,3,9,0.333,6,8,0.75,0.706,6,0.667
3rd,7,24,0.292,5,13,0.385,2,11,0.182,0.333,4,0.571
4th,5,21,0.238,4,11,0.364,1,10,0.1,0.262,2,0.4
Tot,32,88,0.364,18,46,0.391,14,42,0.333,0.443,18,0.562
