Qtr,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
1st,10,19,0.526,6,12,0.5,4,7,0.571,0.632,4,0.4
2nd,15,27,0.556,14,20,0.7,1,7,0.143,0.574,2,0.133
3rd,11,18,0.611,7,13,0.538,4,5,0.8,0.722,7,0.636
4th,8,19,0.421,7,14,0.5,1,5,0.2,0.447,2,0.25
Tot,44,83,0.53,34,59,0.576,10,24,0.417,0.59,15,0.341
