Qtr,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
1st,7,20,0.35,6,10,0.6,1,10,0.1,0.375,5,0.714
2nd,12,18,0.667,11,14,0.786,1,4,0.25,0.694,8,0.667
3rd,8,19,0.421,3,7,0.429,5,12,0.417,0.553,5,0.625
4th,5,19,0.263,3,12,0.25,2,7,0.286,0.316,3,0.6
Tot,32,76,0.421,23,43,0.535,9,33,0.273,0.48,21,0.656
