Qtr,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
1st,9,23,0.391,8,15,0.533,1,8,0.125,0.413,4,0.444
2nd,13,23,0.565,7,11,0.636,6,12,0.5,0.696,10,0.769
3rd,11,16,0.688,6,10,0.6,5,6,0.833,0.844,6,0.545
4th,11,19,0.579,8,12,0.667,3,7,0.429,0.658,6,0.545
Tot,44,81,0.543,29,48,0.604,15,33,0.455,0.636,26,0.591
