Qtr,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
1st,8,20,0.4,3,9,0.333,5,11,0.455,0.525,6,0.75
2nd,10,25,0.4,5,15,0.333,5,10,0.5,0.5,7,0.7
3rd,9,19,0.474,5,9,0.556,4,10,0.4,0.579,7,0.778
4th,5,19,0.263,4,9,0.444,1,10,0.1,0.289,2,0.4
Tot,32,83,0.386,17,42,0.405,15,41,0.366,0.476,22,0.688
