Qtr,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
1st,10,22,0.455,7,12,0.583,3,10,0.3,0.523,6,0.6
2nd,10,21,0.476,8,15,0.533,2,6,0.333,0.524,4,0.4
3rd,9,17,0.529,8,13,0.615,1,4,0.25,0.559,3,0.333
4th,9,21,0.429,9,16,0.563,0,5,0.0,0.429,2,0.222
Tot,38,81,0.469,32,56,0.571,6,25,0.24,0.506,15,0.395
